<b>Array Method</b>: None | <b>Array Method</b> that Joins two or more arrays, and returns a copy of the joined arrays | None |  | <div class="w3-code notranslate jsHigh"> const arr1 = ["Cecilie", "Lone"];<br/> const arr2 = ["Emil", "Tobias", "Linus"];<br/> const children = arr1.concat(arr2); </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Joins all elements of an array into a string | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Banana", "Orange", "Apple", "Mango"];<br/> let text = fruits.join(); </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Returns a Array Iteration Object, containing the keys of the original array | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Banana", "Orange", "Apple", "Mango"];<br/> const keys = fruits.keys();<br/><br/> let text = "";<br/> for (let x of keys) {<br/>   text += x + "&lt;br&gt;";<br/>} </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Search the array for an element, starting at the end, and returns its position | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Apple", "Orange", "Apple", "Mango"];<br/> let index = fruits.lastIndexOf("Apple"); </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Creates a new array with the result of calling a function for each array element | None |  | <div class="w3-code notranslate jsHigh"> const numbers = [4, 9, 16, 25];<br/> const newArr = numbers.map(Math.sqrt)<br/> </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Removes the last element of an array, and returns that element | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Banana", "Orange", "Apple", "Mango"];<br/> fruits.pop();  </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Adds new elements to the end of an array, and returns the new length | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Banana", "Orange", "Apple", "Mango"];<br/> fruits.push("Kiwi"); </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Reduce the values of an array to a single value (going left-to-right) | None |  | <div class="w3-code notranslate jsHigh"> const numbers = [175, 50, 25];<br/><br/>document.getElementById("demo").innerHTML    = numbers.reduce(myFunc);<br/><br/>function myFunc(total, num) {<br/>     return total - num;<br/>}</div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Reduce the values of an array to a single value (going right-to-left) | None |  | <div class="w3-code notranslate jsHigh"> const numbers = [175, 50, 25];<br/><br/> document.getElementById("demo").innerHTML    = numbers.reduceRight(myFunc);<br/><br/>function myFunc(total, num) {<br/>     return total - num;<br/>}</div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Reverses the order of the elements in an array | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Banana", "Orange", "Apple", "Mango"];<br/> fruits.reverse(); </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Removes the first element of an array, and returns that element | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Banana", "Orange", "Apple", "Mango"];<br/> fruits.shift();</div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Selects a part of an array, and returns the new array | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Banana", "Orange", "Lemon", "Apple", "Mango"];<br/> const citrus = fruits.slice(1, 3); </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Checks if any of the elements in an array pass a test | None |  | <div class="w3-code notranslate jsHigh"> const ages = [3, 10, 18, 20];<br/><br/> ages.some(checkAdult); <br/> function checkAdult(age) {<br/>  return age &gt; 18;<br/> } </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Sorts the elements of an array | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Banana", "Orange", "Apple", "Mango"];<br/> fruits.sort(); </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Adds/Removes elements from an array | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Banana", "Orange", "Apple", "Mango"];<br/> <br/> fruits.splice(2, 0, "Lemon", "Kiwi"); </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Converts an array to a string, and returns the result | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Banana", "Orange", "Apple", "Mango"];<br/> let text = fruits.toString(); </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Adds new elements to the beginning of an array, and returns the new length | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Banana", "Orange", "Apple", "Mango"];<br/> fruits.unshift("Lemon","Pineapple"); </div> | es6 
<b>Array Method</b>: None | <b>Array Method</b> that Returns the primitive value of an array | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Banana", "Orange", "Apple", "Mango"];<br/> const myArray = fruits.valueOf(); </div> | es6 
<b>Array Property</b>: None | <b>Array Property</b> that Returns the function that created the Array object's prototype | None |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Banana", "Orange", "Apple", "Mango"];<br/> let text = fruits.constructor;<br/> </div> | es6 
<b>Array Property</b>: length | <b>Array Property</b> that Sets or returns the number of elements in an array |  |  | <div class="w3-code notranslate jsHigh"> const fruits = ["Banana", "Orange", "Apple", "Mango"];<br/> let length = fruits.length; </div> | es6 
<b>Array Property</b>: None | <b>Array Property</b> that Allows you to add properties and methods to an Array object | None |  | <div class="w3-code notranslate jsHigh">  Array.prototype.myUcase = function() {<br/>  for (let i = 0; i &lt; this.length; i++) {<br/>       this[i] = this[i].toUpperCase();<br/>  }<br/>};</div> | es6 
